0.5454545454545454	4	 It is good the third point underlined by Julian Huxley .	 This is , indeed , the third point underlined by Julian Huxley .	1.0
0.9	7	 China , once star entrenched anti-capitalist utopian revolutionary , has become the enemy libertarian feared by a new generation of utopian reactionaries who defend the status quo in Europe .	 China , once the anti-capitalist star of the utopian revolutionaries , has become the ultra-liberal enemy feared by a new generation of utopian reactionaries who defend the status quo in Europe .	1.6666666666666667
0.8571428571428571	6	 The US and Europe are facing a similar challenge : to promote economic recovery .	 In addition , the US and Europe are facing a similar challenge : promoting economic recovery .	2.2
0.7575757575757576	7	 The Letter A wrote : Jérôme Pécresse -LRB- ... -RRB- Lead an intense lobbying to take the head of the future big French mining group which could arise from a filialisation since Areva .	 The Lettre A wrote : Jérôme Pécresse -LRB- ... -RRB- is lobbying intensely to take the head of the future big French mining group which could arise from a subsidiarisation from Areva .	5.0
0.5416666666666666	2	 In Africa , the average age today is 19 years and it is clear that there will be around 28 years in 2050 .	 In Africa , the average age today is 19 years and it is predicted that it will be around 28 years in 2050 .	2.0
0.8659793814432989	10	 The bribe paid the tax man excise duties for a classification , the difference between the value of the granite polite and unpolished , and the omission of registration of the real incomes are creating the funds ' black ` which can not be declared on the forms of statement of income .	 The bribe paid to the collector of excise duties for a favorable classification , the difference between the value of polished and unpolished granite , and the omission of recording the real income are creating ` black ' funds , which can not be declared on the forms of statement of income .	2.5714285714285716
0.7333333333333333	9	 Consider , for example , the ` directives on services `` of the European Commission .	 Let 's consider , for example , the `` services directive '' from the European Commission .	1.375
0.8039215686274509	10	 The CCNR judges that Mr Dupont and his team of CHOI 98,1 FM had the right to express their opinions , but that certain comments contained of '' the inaccurate information about the social work , the representations illegally negative of the Haitians and the unrefined language which does not suit in broadcasts spread during the day '' .	 The CCNR judges that Mr Dupont and his team of CHOI 98.1 FM had the right to express their opinions , but that certain comments contained '' inaccurate information about social work , the unduly negative portrayal of Haitians and the rude language which is inappropriate in programs broadcast during the day '' .	3.230769230769231
0.8333333333333334	8	 I remember everything , the main thing which managed the private school which I frequented , of the team of the professors , the information officer and even the nurse .	 I remember everything , the school principal who managed the private school which I went to , the team of teachers , the information officer and even the nurse .	2.2857142857142856
0.9142857142857143	8	 His symbols are the bridge of Golden Gate , the former prison of Alcatroz , the Transamerica Pyramid , the Coit Tower and the cable coaches .	 Its symbols are Golden Gate Bridge , the former prison of Alcatraz , the Transamerica Pyramid , Coit Tower and the cable cars .	3.5714285714285716
1.0	2	 The fact that the contents of Wikipédia are permanently updated is also a precious datum .	 The fact that the contents of Wikipedia are permanently updated is also a precious factor .	8.0
0.48000000000000004	5	 Build a knowledge-based economy thanks to the oil wealth is entirely possible .	 Building a knowledge-based economy on the basis of oil wealth is entirely possible .	1.5
0.9795918367346939	9	 Self-determination is not synonymous with insulation because the national independence of our days simply means the return on the world stage with a new status .	 Self-determination is no longer synonymous with isolation because sharing in the national independence of our times simply means returning to the world stage with a new status .	1.875
0.7272727272727273	6	 It should discourage the drivers of the conduct quick and drink-driving .	 It should discourage drivers from speeding and from and drunk-driving .	1.4
1.0	2	 Superbowl is the biggest American media event : he is followed by more 90 million televiewers and broadcast in 225 countries .	 The Superbowl is the biggest American media event : it is followed by more 90 million televiewers and broadcast in 225 countries .	8.0
0.59375	10	 When the end will come , the change in Cuba may well have so much that any of those who have welcomed the end of the great dictators of the last century .	 When the end comes , the change in Cuba may well be as large as any of the changes that greeted the end of the great dictators of the last century .	2.0
